"metabolite"
"Adenosine 5'-monophosphate"
"Uridine-5'-phosphoric acid"
"Xanthine"
"MQD"
"PL1B"
"D-Sedoheptulose 7-phosphate"
"N-Palmitoyltaurine"
"Oleoyltaurine"
"a-L-Fucopyranosyl-(1->2)-b-D-galactopyranosyl-(1->2)-D-xylose"
"N-[(4E,8E)-1,3-dihydroxyoctadeca-4,8-dien-2-yl]hexadecanamide"
"Cer(t18:1(6OH)/25:0)"
"GlcCer(d18:1/16:0)"
"Termitomycesphin C"
"SM(d17:1/18:1(12Z)-2OH(9,10))"
"PG(16:0/20:4(5Z,8Z,11Z,14Z))"
"PG(18:0/18:2(9Z,12Z))"
"Termitomycesphin F"
"Bouillonamide A"
"PG(18:2(9Z,12Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))"
"PI(16:0/18:1(11Z))"
"PS(18:0/22:5(7Z,10Z,13Z,16Z,19Z))"
"PS(18:0/22:4(7Z,10Z,13Z,16Z))"
"SM(d19:0/LTE4)"
