 Metabolite_name	RefMet_name	K1	K10	K11	K12	K13	K2	K3	K4	K5	K7	K8	K9	245c	248c	249c	250c	252c	253c	257c	258c	259c	s251	s253	s293	s294	s299	s303	s313	s315	s318	s330	s336	s339	s345	245t	248t	249t	250t	252t	253t	257t	258t	259t
Factors	-	Sample source:Blood serum | Group:Control	Sample source:Blood serum | Group:Control	Sample source:Blood serum | Group:Control	Sample source:Blood serum | Group:Control	Sample source:Blood serum | Group:Control	Sample source:Blood serum | Group:Control	Sample source:Blood serum | Group:Control	Sample source:Blood serum | Group:Control	Sample source:Blood serum | Group:Control	Sample source:Blood serum | Group:Control	Sample source:Blood serum | Group:Control	Sample source:Blood serum | Group:Control	Sample source:Blood serum | Group:Lymphedema	Sample source:Blood serum | Group:Lymphedema	Sample source:Blood serum | Group:Lymphedema	Sample source:Blood serum | Group:Lymphedema	Sample source:Blood serum | Group:Lymphedema	Sample source:Blood serum | Group:Lymphedema	Sample source:Blood serum | Group:Lymphedema	Sample source:Blood serum | Group:Lymphedema	Sample source:Blood serum | Group:Lymphedema	Sample source:Blood serum | Group:Lymphedema	Sample source:Blood serum | Group:Lymphedema	Sample source:Blood serum | Group:Lymphedema	Sample source:Blood serum | Group:Lymphedema	Sample source:Blood serum | Group:Lymphedema	Sample source:Blood serum | Group:Lymphedema	Sample source:Blood serum | Group:Lymphedema	Sample source:Blood serum | Group:Lymphedema	Sample source:Blood serum | Group:Lymphedema	Sample source:Blood serum | Group:Lymphedema	Sample source:Blood serum | Group:Lymphedema	Sample source:Blood serum | Group:Lymphedema	Sample source:Blood serum | Group:Lymphedema	Sample source:Interstitial fluid | Group:Lymphedema	Sample source:Interstitial fluid | Group:Lymphedema	Sample source:Interstitial fluid | Group:Lymphedema	Sample source:Interstitial fluid | Group:Lymphedema	Sample source:Interstitial fluid | Group:Lymphedema	Sample source:Interstitial fluid | Group:Lymphedema	Sample source:Interstitial fluid | Group:Lymphedema	Sample source:Interstitial fluid | Group:Lymphedema	Sample source:Interstitial fluid | Group:Lymphedema
Asparagine	Asparagine	33.7000	52.8000	46.5000	49.9000	47.8000	45	50.9000	54.7000	38.5000	39.8000	57	46.4000	37.3000	46.7000	29.6000	20.9000	38.8000	40.8000	48.8000	63.8000	40.6000	61	53.2000	29.6000	73.6000	45.1000	64.3000	97.4000	68.2000	137.1000	62.3000	104.1000	55.5000	49.1000	32.1000	47.9000	15.8000	32.1000	55.6000	26.4000	56.1000	51	36.4000
Betaine	Betaine	20.2000	54.2000	44	49.5000	35.2000	27.4000	24	28.9000	22.8000	45.2000	38.4000	31.3000	19.5000	35.1000	17.8000	31.7000	45.7000	49	15.8000	25.8000	38.9000	113.1000	49.1000	13.5000	46.6000	33.1000	59.9000	65.1000	29.5000	60.4000	49.8000	49.3000	57	54	16.4000	32.2000	15.2000	22.4000	46.5000	38.1000	14.3000	19.4000	40.7000
CAR 2:0	CAR 2:0	14.8000	16.8000	13.8000	10.2000	10.4000	18.2000	12.3000	13.2000	7.2000	12.5000	9.5000	7.8000	8.8000	11.3000	12.7000	11.2000	14.3000	15.2000	16.1000	9.7000	10.3000	13.3000	9.1000	4.8000	12.7000	8	3.6000	9.6000	5	12.7000	4	18.7000	11.3000	9.1000	9.3000	11.2000	10.9000	9.7000	12.6000	13	9.7000	7.3000	10.7000
Choline	Choline	9.1000	16.2000	14.2000	9.8000	10.6000	10.6000	9.7000	9	11	7.9000	10	8	6.8000	11.7000	9.1000	8	14	14.5000	9.3000	7.6000	10.5000	19.6000	18	9.8000	16.2000	9.1000	18.5000	27.2000	21.4000	22.4000	24.5000	26	16.2000	18.7000	6	11.9000	9.1000	10.6000	15.6000	13.7000	10.8000	7.1000	14.7000
Citric acid	Citric acid	140.2000	158.9000	149.1000	141.6000	128.5000	152.4000	150.8000	134.7000	74.7000	134.5000	116.3000	93.5000	100.4000	159.2000	162.6000	105.1000	133.2000	148.6000	137.3000	104.4000	104.5000	203.3000	155.5000	130.8000	145.4000	177.4000	211.4000	201.8000	165.7000	247.7000	205.9000	205.9000	172.3000	161	122.5000	136	152	104.4000	165.3000	141.6000	99.5000	75.3000	115.8000
Creatine	Creatine	59.9000	34.5000	57.7000	55.2000	37.9000	26.5000	72.2000	80.4000	35.9000	25.6000	60.1000	85.4000	51.5000	74	100.8000	62.1000	91.3000	91.6000	68.9000	98.9000	84.6000	113.9000	63.2000	70.4000	160.3000	83.9000	99.3000	125.5000	99.3000	136.2000	108.6000	122.8000	142.3000	132.4000	53.4000	79.9000	93	54.6000	101.7000	69	87.1000	90.9000	103.9000
Creatinine	Creatinine	82.7000	76.2000	73.3000	54.8000	61.4000	55.5000	69.8000	98.6000	108.3000	68.6000	62.7000	61.6000	66.7000	85.6000	61.2000	86	64.2000	91.2000	76	74.1000	76.5000	122.9000	124.8000	94.9000	131.2000	99.1000	76.1000	155.4000	85.3000	150.8000	106.8000	141.5000	103.1000	116	66.3000	80.5000	58.8000	62.9000	62.6000	72.4000	77.3000	55.1000	76.3000
Dimethylamine	Dimethylamine	5.3000	7.9000	5.5000	8.8000	0.5000	7.2000	1.6000	1	5.3000	5.8000	6.6000	1.6000	3.2000	1.6000	2.4000	6.3000	5	2.1000	1.9000	5.1000	1.9000	2.6000	2.4000	5.6000	1.8000	8.5000	1.4000	2.4000	1.3000	7.3000	1.9000	1.1000	1.8000	8.9000	1.4000	0.6000	2.7000	3.8000	4.3000	1.7000	0.8000	3.8000	1.5000
Dimethylglycine	Dimethylglycine	2.2000	3	3.2000	3.2000	1.8000	4.9000	2.2000	3.2000	2.9000	3.3000	2.7000	2	2.2000	3.2000	3.2000	2	6.8000	3.8000	2.3000	2.7000	2.6000	6	10.7000	1.7000	3.3000	3.5000	4.6000	3.1000	4.3000	5.8000	4.6000	4.9000	5.5000	4.3000	3.7000	2.9000	2.6000	2.3000	7.2000	5.2000	2.7000	3.2000	4.4000
Dimethyl sulfone	Dimethyl sulfone	15.7000	14.9000	13.9000	10.4000	8	8.5000	9	9.7000	4.6000	9.3000	7.7000	8.1000	5	8.8000	5.7000	4.3000	7	4.9000	8.8000	4	7	12.1000	12	13.4000	20.6000	12	15.8000	16.9000	12.8000	15.2000	13.8000	8.2000	12	11.7000	3.8000	10.9000	4.9000	3.3000	6.9000	5.1000	10.6000	4	8.1000
Formic acid	Formic acid	30.4000	37.6000	31.2000	34.6000	32.5000	29.4000	31.4000	33	29.7000	32.9000	33.4000	36.1000	28.1000	35.9000	31.9000	30.6000	36.6000	31.5000	31.3000	31	28.5000	256.4000	288	160	529.6000	282.9000	296.3000	406.9000	353.5000	412	223.2000	484.5000	269.6000	425.5000	23	36.2000	39.5000	37	44.5000	30	41.9000	35.4000	36.9000
Glucose	Glucose	6205.9000	5360.5000	6122.7000	4768.6000	4758.8000	4455.8000	4000.3000	5618.5000	5563.7000	4293.6000	5027.8000	4628.2000	4525.6000	4985.3000	6877.1000	5018.6000	4416.9000	7046.2000	5221.3000	5949	5101	6320.7000	8141.3000	5760.9000	13202.4000	5880.6000	5542.2000	7458.7000	6112.3000	8653.2000	9953.9000	7589.8000	11296.2000	6280.4000	4386.2000	5315.3000	6739.4000	4109.8000	4566.5000	4950.9000	5648.9000	5905.6000	6232.9000
Glutamine	Glutamine	424.5000	665.3000	544	497.4000	556.5000	594.4000	457.9000	586.5000	343.9000	463.2000	685.8000	591.9000	466.6000	566.6000	381.7000	588.9000	486.3000	510.5000	461.7000	507.3000	578.8000	988.7000	663.1000	503.8000	919.2000	437.2000	706.4000	1091.4000	424	832.9000	447.2000	884.8000	866	884.1000	495.7000	574.2000	358	445.5000	502.5000	437.1000	433.5000	431.3000	575.9000
Glycerol	Glycerol	158.6000	117.5000	164	132	156	194.7000	159	136.5000	113.9000	117.6000	100.1000	93.3000	143.5000	162.1000	341.6000	181.5000	134.4000	254.7000	183.4000	117.7000	152	274.1000	207.6000	227.7000	212.6000	304.9000	263.1000	218	211.1000	98.7000	179.8000	191	78.3000	154.2000	102	135.5000	233	242.2000	232.7000	221	142.2000	161.2000	140
