"feature_id","Area: 1_Empty_Pos.raw (F1)","Area: 2_Empty_Pos.raw (F2)","Area: 3_Untransfected_Pos.raw (F3)","Area: 4_Untransfected_Pos.raw (F4)","Area: 5_Wild_type_Pos.raw (F5)","Area: 6_Wild_type_Pos.raw (F6)","Area: 7_S90G_mutant1_Pos.raw (F7)","Area: 8_S90G_mutant1_Pos.raw (F8)","Area: 9_G97L_mutant2_Pos.raw (F9)","Area: 10_G97L_mutant2_Pos.raw (F10)","Area: 11_W520X_mutant3_Pos.raw (F11)","Area: 12_W520X_mutant3_Pos.raw (F12)","Area: 13_Empty_Pos.raw (F13)","Area: 14_Empty_Pos.raw (F14)","Area: 15_Untransfected_Pos.raw (F15)","Area: 16_Untransfected_Pos.raw (F16)","Area: 17_Wild_type_Pos.raw (F17)","Area: 18_Wild_type_Pos.raw (F18)","Area: 19_S90G_mutant1_Pos.raw (F19)","Area: 20_S90G_mutant1_Pos.raw (F20)","Area: 21_G97L_mutant2_Pos.raw (F21)","Area: 22_G97L_mutant2_Pos.raw (F22)","Area: 23_W520X_mutant3_Pos.raw (F23)","Area: 24_W520X_mutant3_Pos.raw (F24)"
"Cholestenone",-0.881812141719379,-0.259166810548566,2.95122381220938,2.73345770138546,3.01748667643791,3.37730408824885,3.30529343443708,2.29558104640495,3.00745214415979,3.23658519171886,3.20225755775018,3.11929191280607,0.885253649598733,2.08206901505781,3.29687422175491,3.09121703304391,3.15680007392785,3.15346422828672,3.12404813185288,2.83693030831388,3.11462780094348,3.10878138419196,3.15571781073767,3.05937119895673
"Lyso.PC.18.1..d7",-0.71741327144521,-1.54741173931798,-3.58256923797535,-3.66712598414077,-4.16092283408395,-3.99671044127657,-3.84358565563015,-2.60818795274638,-3.72445968836743,-3.64813778347228,-3.72379151093632,-3.68090171084754,14.336661359405,14.6867941804422,10.6772314814296,10.7456570515197,10.956891114828,10.8626427139118,10.8151860590847,10.6636360593718,10.7708476650003,10.7121517339558,10.7105199265456,10.8035800565431
"Benzyldimethylhexadecylammonium",5.86286126496245,5.60365219380999,1.80857894196158,1.68059780941908,0.918442694848789,1.58045423091127,2.32043738516505,2.61174378410339,1.99156575748746,2.50665834179627,1.73769390346709,2.37783906986463,3.96529355688107,6.00965149500223,1.53615297703684,2.05522442356071,2.62946502656725,1.52561993126429,2.35055811670966,1.51322825900111,2.30576883599578,1.81924658063755,2.63645151215888,3.60365175725387
"PC.15.0.18.1..d7",0.582767211791017,0.512380196752197,1.2817997234578,0.960663783169519,0.889559364280789,-0.282962258284918,1.25638619285209,1.91870397447513,1.1612894042254,1.24438849201035,1.04112221484969,1.19898521030755,10.9207331599766,11.1855827717949,7.7936931940814,7.8054081799343,7.9353837076539,7.91178362990179,7.88698093926107,7.80149792099613,7.9667549200984,7.78698004809748,8.05606709746726,7.96086948248839
"PC.15.0.18.1..d7_duplicate_1",0.197335035157653,-0.497800632584433,1.34155658785732,-0.19710132313552,-0.0938065061717737,-0.282962258284918,-0.139976132214038,1.91870397447513,0.312343560186296,0.125678967880834,2.56154495516744,0.0749426266110902,16.9603230318226,17.2692175928954,13.3431993076431,13.3325068007891,13.4659486036189,13.4303219341114,13.4027626081349,13.310707027125,13.4628255257913,13.3051317780233,13.5200588990027,13.4425495498569
"Coenzyme.Q10",1.33538627044313,2.208453364343,9.67593729594745,9.35819258360323,9.44864770641519,9.5246164155296,9.76207607633464,9.2507814195297,9.31456063112392,9.81654432578786,9.18238651509361,9.90639703337786,4.57499367952488,4.83657457896809,8.23414312557523,8.13497504536137,8.60608922765003,8.28209918496446,8.06106844575195,7.89211026320836,8.24452967248011,8.09158891117132,8.23346604989271,8.16932607718168
"Benzyldimethyloctadecylammonium",5.62138901049516,4.71099946766254,0.910031152038457,0.697961863878799,-0.0259262414528045,0.863919966340852,1.18999089494567,0.876943432512231,1.45071637665923,1.11040248787555,0.85997123068562,1.47994852242153,3.28796682578328,4.58564463880081,0.701231308871051,0.320265499025425,0.979615436620612,0.534562324390869,1.56942048313326,0.461697759231704,1.22787579553358,0.715583339774803,1.31307110465959,2.62700331445818
"Coenzyme.Q10.d9",5.88698193369476,5.13190937036778,0.0602459508884934,-0.579974159548563,1.9652981488242,0.572095528056938,0.223962513048313,3.1512216810193,1.97714267826265,2.59492541106104,-0.175738861566746,-0.258875460129659,17.5718953542055,17.88248191831,13.9622922349897,14.0227059722991,13.3380313427207,13.72766130006,14.1102168981161,14.0891581062317,13.965642741068,14.0279128309902,14.0756832680196,13.8952684985981
"SM.18.1..d9",-0.487807246569067,-0.47968022062838,1.84657662172828,1.54328719327378,1.41135416194166,1.82681907551183,1.73086263421735,1.76844838506618,1.59408420725035,1.89429393031596,1.53002961362073,1.76131582236221,14.1851334880626,14.5065335166693,10.5921044537322,10.5832603321749,10.8172578679046,10.7106331069932,10.6750924200707,10.569705983129,10.6581562276335,10.5644804150022,10.767260940276,10.7023739291482
"SM.18.1..d9_duplicate_1",1.20965788138793,1.2833955628513,2.77147515942015,2.59278241617317,2.46692277786983,2.63082608325351,2.66886644054452,2.85901945472004,2.51751316694941,2.82232065351852,2.56791452787571,2.80241230998324,7.01948739187904,7.31780503189702,0.775034328044754,3.39968468343517,3.74705298621795,3.57318422968857,3.67996451396212,3.30087839931301,3.52150624414821,3.37013463665683,3.53884792229008,3.22224255287608
"Benzyldimethyltetradecylammonium",7.94590333503305,7.86914321768098,4.05818616695837,3.84400120826072,3.3673905636581,3.78030730898146,4.53070296288456,4.86220503319506,3.96651552916911,4.75725735091554,3.96358425705025,4.5988060885774,6.2681704524615,7.5886312391361,3.8077077897925,4.26830662869435,4.657571415488,3.55548511225888,3.87016415519941,3.78880900950143,4.10928293910568,4.23216002397048,4.80769658925782,4.3695188696454
"Lyso.PE.18.1..d7",1.6903081061383,1.66107647981659,-1.59782873291786,-1.86034932605049,-2.27418047295672,-1.5616387820842,-1.03067872944739,0.267289930544095,-1.45436305221065,-1.45470971138518,-1.37648442170494,-1.0844558155998,9.77869421406854,9.91892390407657,6.34833479345222,6.31453615503443,6.54011860167128,6.38933191630565,6.36978953858408,6.25686731039839,6.27342936148338,6.33168116427121,6.32243969144988,6.35474583601856
"PE.15.0.18.1..d7",-0.478653751020536,-0.388341565814148,-0.278464508219869,-0.452344034826517,-0.378721965995929,-0.104853162204115,-0.186238420275746,-0.502797031078376,-0.409743963816556,-0.14370525789635,-0.369646358053508,-0.0585733847799901,9.00070376047266,9.21172534703445,5.9834178686458,6.03876946167849,6.07247041508129,6.0765346699667,6.11538916463033,6.0350909221208,6.17255357591397,5.906399902571,6.22604528222429,6.2030672901735
"DG.15.0.18.1..d7",-0.304620728363828,-0.313909772567676,-1.74424198498969,-2.10205343475948,-1.83736432846446,-1.56422979592059,-1.57749580604934,-1.80470109697916,-1.73527367642422,-1.57181013246251,-1.78899156825353,-1.59260083464988,7.86174938086915,9.49584508160801,6.01277411695672,5.76123263445551,5.92798524879978,6.11383584849755,6.15706316134666,6.24334272058771,6.17694448015803,5.8247761237773,6.45983495697937,6.36767346881769
"Lyso.PC.18.1..d7_duplicate_1",2.23941141362598,0.315881380773734,-1.0486799175981,-1.31120014089384,-1.72503181632437,-2.81000573090512,-0.481530372518321,0.816442770543969,-0.905214232606276,-0.905560243268582,-0.827334885087783,-0.535307000279996,8.54211692502512,8.77969808004948,4.91078236521142,4.93933394204836,5.17379898837531,5.0440415184198,4.93541130091656,4.89306411069235,4.89325591067737,4.82743081647623,4.86232936691975,4.95590093404433
"Lyso.PC.18.1..d7_duplicate_2",0.0186397095642281,-1.10939676899486,-2.92374431515694,-4.30182103536012,-4.35238034145286,-3.80383715110461,-4.00609911853449,-3.30019823773405,-3.51948557328985,-4.03390753772425,-4.22900638912169,-3.56065846571667,10.9946228879706,11.093424895435,7.04212899866607,7.30041701711482,7.40699527157183,7.20780632450414,7.16980558479156,6.84638558534719,7.20372842820678,7.02558106025361,7.24030591258154,7.11617029527592
"Benzyldimethyldodecylammonium",7.70738124082268,7.5640615836363,4.08225953256798,3.91766261393369,3.76802527423468,3.92843267928782,4.45295252915045,4.85007835148052,3.90906861292779,4.5923968942631,4.18366133383914,4.46935422347102,6.7243210332606,6.92786279718427,4.02027634260524,4.31117300803554,4.48575159048403,3.78343674980898,3.67718598510992,4.16756854854176,4.10138212282975,4.73261480100887,4.70358043260174,3.78573668808557
"Lyso.PE.18.1..d7_duplicate_1",-0.917462818636645,-1.62851549303309,-3.96137616573862,-3.5256330473853,-4.25212776537797,-4.43921714107686,-4.31509266178514,-2.66318513855836,-4.24967121870237,-4.0662133220685,-4.4284419000464,-4.11429519749458,6.90730489640021,6.98307871186207,3.28881947486132,3.50598619743019,3.61766533050783,3.42036689410034,3.36324381368354,3.1497123258072,3.44760469235884,3.20442551474994,3.37358463147494,3.43305281282934
