"pvalue","feature_id","padj"
0.00407812804167979,"Acetyl-D-alanine",0.0175631113648344
1.95310058078657e-05,"Adenosine 5'-monophosphate",0.000555819873615512
0.000733972082827222,"Taurine",0.00469131953669193
0.000233694221480547,"Creatine",0.00238347456499282
0.00876750594189425,"Myoinositol",0.0308670441150194
0.00495900388980768,"Xanthosine",0.0198634872703469
0.00375908679436211,"Phenylac-Gly-OH",0.0168655797009643
1.54445212599944e-06,"Uridine-5'-phosphoric acid",0.000105486080205762
0.0149100374444773,"Pantothenic acid",0.0447764143668122
2.11067288138397e-07,"Xanthine",7.20794788992625e-05
8.47871801480691e-05,"sn-glycero-3-Phosphocholine",0.00138387394820742
6.81510320652409e-05,"2-Methylsuccinic acid",0.00122492512896209
0.00470568467844151,"Pseudouridine",0.0193613411769611
0.00176349348195525,"6-Chloro-5-methyl-1H-1,2,3-benzotriazole",0.00955925435059871
0.00377808740006961,"Phosphoric acid",0.0168655797009643
0.0150128827086384,"Phosphoric acid",0.0447764143668122
1.09323963241503e-05,"D-ribose 5-phosphate",0.000355563175685461
0.00246656057282881,"2,4-Dinitrophenol",0.0122967946805991
0.000151569108620776,"DL-Alanine",0.00181617019628052
0.011339940041031,"cis-Aconitic acid",0.0370582729570535
5.25512853495434e-05,"Phenol sulphate",0.00102550079696395
0.00424078410310591,"Pyrophosphate",0.0179904070957847
0.00116106768354728,"Meglumine",0.00666394309128395
0.000197285034584505,NA,0.0021733173971164
0.00411434526848244,"Glycerylphosphorylethanolamine",0.0175631113648344
0.00317200015529666,"Phosphorus(V) sulfide",0.0150449729588029
2.95152482393471e-05,"3,5-Dichloro-2-methylmuconate",0.000746626464721262
0.000653222429981278,NA,0.00446150919677213
0.000723625792308402,NA,0.00469131953669193
3.61322173248759e-06,NA,0.000205652536940752
3.5706552513075e-05,"MQD",0.00084095087470449
3.78189616736811e-07,"3,5-Dichloro-2-hydroxybenzenesulfonic acid",8.6101169410414e-05
8.50991300508222e-05,NA,0.00138387394820742
0.00518345346372395,"Glycerophosphoglycerol",0.0205831320681596
0.0147966279618605,NA,0.0447172429112863
0.00922736202089996,NA,0.0321545319401769
0.00114099815337592,NA,0.00660425202335385
6.50262520506377e-07,NA,8.8825860301171e-05
0.00351246739484775,NA,0.0161007733602752
6.12583293890018e-06,"PL1B",0.000288432662047423
0.00256255972508037,NA,0.0126828137118108
4.39982100488432e-05,NA,0.000969379918172899
0.000466823685583926,NA,0.00379572115778359
0.00495277267849008,NA,0.0198634872703469
