"Sample","Group"
"Group Area: HILIC_Neg_WT1","WT"
"Group Area: HILIC_Neg_WT2","WT"
"Group Area: HILIC_Neg_WT3","WT"
"Group Area: HILIC_Neg_WRN1","WRN"
"Group Area: HILIC_Neg_WRN2","WRN"
"Group Area: HILIC_Neg_WRN3","WRN"
"Group Area: HILIC_Neg_shPGC1B1","shPGC"
"Group Area: HILIC_Neg_shPGC1B2","shPGC"
"Group Area: HILIC_Neg_shPGC1B3","shPGC"
