"pvalue","feature_id","padj"
0.440955942576923,"Adenine",0.499457560165901
0.00407812804167979,"Acetyl-D-alanine",0.0175631113648344
1.95310058078657e-05,"Adenosine 5'-monophosphate",0.000555819873615512
0.166757996124625,"Glutathione reduced",0.234836518253853
0.0603855236370671,"UDP-β-D-Glucose",0.118515266218726
0.000733972082827222,"Taurine",0.00469131953669193
0.000233694221480547,"Creatine",0.00238347456499282
0.0399863890904455,"Glutamic acid",0.0898378412788627
0.216944642319002,"Uridine",0.286601916255083
0.00876750594189425,"Myoinositol",0.0308670441150194
0.139673842625448,"Glutathione reduced",0.208445372683831
0.153173084964378,"Adenosine",0.220246772696148
0.00495900388980768,"Xanthosine",0.0198634872703469
0.00375908679436211,"Phenylac-Gly-OH",0.0168655797009643
1.54445212599944e-06,"Uridine-5'-phosphoric acid",0.000105486080205762
0.370486256328959,"4-Nitrophenol",0.432550620637059
0.0149100374444773,"Pantothenic acid",0.0447764143668122
2.11067288138397e-07,"Xanthine",7.20794788992625e-05
0.190063955321929,"Inosine",0.259607501452402
8.47871801480691e-05,"sn-glycero-3-Phosphocholine",0.00138387394820742
0.113782286392015,"Threonine",0.183286088692797
0.102435365958043,"1,2-Dioleoyl-sn-glycero-3-phosphocholine",0.172323534357988
0.0357792446618822,"1,2-Dioleoyl-sn-glycero-3-phosphocholine",0.0842662900140191
6.81510320652409e-05,"2-Methylsuccinic acid",0.00122492512896209
0.00470568467844151,"Pseudouridine",0.0193613411769611
0.00176349348195525,"6-Chloro-5-methyl-1H-1,2,3-benzotriazole",0.00955925435059871
0.861300302646829,"Uridine 5'-diphosphoglucuronic acid",0.88461369429742
0.00377808740006961,"Phosphoric acid",0.0168655797009643
0.650406278189659,"Cyclic ADP-ribose",0.698470893087323
0.0603086879288241,"UDP-N-acetylglucosamine",0.118515266218726
0.0150128827086384,"Phosphoric acid",0.0447764143668122
0.158750231503992,"3-Aminosalicylic acid",0.225888350244222
1.09323963241503e-05,"D-ribose 5-phosphate",0.000355563175685461
0.00246656057282881,"2,4-Dinitrophenol",0.0122967946805991
0.000151569108620776,"DL-Alanine",0.00181617019628052
0.366687191420085,"Phosphite",0.428848205034107
0.140634325914788,"Perchloric acid",0.208660738166313
0.937494569775681,"Trifluoroacetic acid",0.944408246543938
0.0775148601412726,"Glutaconic acid",0.142318950205616
0.832319913774001,"Oxoglutaric acid",0.859602841950764
0.0477281884637209,NA,0.100302623756066
0.172089904099712,"Allantoin",0.239872254081844
0.167953589003317,"Arabinonic acid",0.23603354174746
0.011339940041031,"cis-Aconitic acid",0.0370582729570535
5.25512853495434e-05,"Phenol sulphate",0.00102550079696395
0.272014383839998,"N-Acetyl-L-aspartic acid",0.338501776611469
0.00424078410310591,"Pyrophosphate",0.0179904070957847
0.026591780331081,NA,0.0682889356119662
0.00116106768354728,"Meglumine",0.00666394309128395
0.121646413055228,NA,0.190998850843036
0.000197285034584505,NA,0.0021733173971164
0.281230316514241,"Dibenzothiophene 5-oxide",0.346090641764373
0.342165288975724,"Phenyl sulfoxide",0.405024076898474
0.0261198053935147,NA,0.0680260610317815
0.0459997040620017,"Daucic acid",0.0984883945904299
0.352837316266762,NA,0.414781216885023
0.933709089378166,"3-Methoxytyrosine",0.941984206861577
0.143606215970779,"Ferrocyanide salts",0.210478638429275
0.00411434526848244,"Glycerylphosphorylethanolamine",0.0175631113648344
0.102796503959994,NA,0.172506172493062
0.0177696387789661,"2-C-methyl-D-erythritol-4-phosphate",0.0507810179331961
0.609500387474041,NA,0.662880198478933
0.242895229154047,NA,0.310669366127741
0.312416671859672,NA,0.378334373900985
0.0663446258612496,NA,0.128366514060152
0.00317200015529666,"Phosphorus(V) sulfide",0.0150449729588029
0.0906237409409301,NA,0.157712104866121
2.95152482393471e-05,"3,5-Dichloro-2-methylmuconate",0.000746626464721262
0.000653222429981278,NA,0.00446150919677213
0.0813539706933482,NA,0.146996724824224
0.000723625792308402,NA,0.00469131953669193
0.049788894982788,NA,0.103047925070437
3.61322173248759e-06,NA,0.000205652536940752
3.5706552513075e-05,"MQD",0.00084095087470449
0.248259622870097,NA,0.315169744275607
0.0348598641319287,NA,0.0826711361184282
0.70400716997699,NA,0.746641144556342
0.204586392983967,NA,0.275534248557511
0.276305820292264,"6-Deoxypenciclovir",0.342551703277621
0.137132617606718,NA,0.207928136651616
0.315277984970133,NA,0.380450289283747
0.0399614642834166,NA,0.0898378412788627
0.318809232631063,NA,0.383356876561648
0.95217701500587,"Propyl 1-(propylsulfinyl)propyl disulfide",0.957786305226818
0.0386048830167141,"Propyl 1-(propylsulfinyl)propyl disulfide",0.0881843983291495
0.0824070390750261,NA,0.148115809705902
0.510124179200426,"Propyl 1-(propylsulfinyl)propyl disulfide",0.570237012101294
0.216707940546266,"Propyl 1-(propylsulfinyl)propyl disulfide",0.286601916255083
0.106347595692073,NA,0.175872658251056
3.78189616736811e-07,"3,5-Dichloro-2-hydroxybenzenesulfonic acid",8.6101169410414e-05
8.50991300508222e-05,NA,0.00138387394820742
0.416155930633012,NA,0.477874120964799
0.237848638904943,NA,0.305933371698825
0.00518345346372395,"Glycerophosphoglycerol",0.0205831320681596
0.269044041944765,"Aspartylhydroxyproline",0.337168955317935
0.205043298905382,NA,0.275534248557511
0.0147966279618605,NA,0.0447172429112863
0.134839993398938,"Pyridoxine 5'-phosphate",0.206956664025785
0.00922736202089996,NA,0.0321545319401769
0.00114099815337592,NA,0.00660425202335385
0.0231828708411849,"Bisphenol S",0.0618511749395675
6.50262520506377e-07,NA,8.8825860301171e-05
0.00351246739484775,NA,0.0161007733602752
0.0275822576149894,NA,0.069515431553645
0.0368696306234538,NA,0.0856529174007447
0.154975448950391,NA,0.222370234523355
6.12583293890018e-06,"PL1B",0.000288432662047423
0.436165564474202,"Tolmetin",0.49567567476852
0.289264443695655,NA,0.353430438361596
0.793253880724444,NA,0.82716397028213
0.730582840971767,NA,0.770043333925489
0.13946211757329,NA,0.208445372683831
0.00256255972508037,NA,0.0126828137118108
